Name,Review,UpVotes,Rating,Date
Shinoj Kumar,"When the screen locks, the app being kept on pause, the app crashes when the screen is unlocked. I have to restart the app again to play the video. Sometimes the video plays from where it crashes and sometimes it starts from the beginning. Please fix this. Other than this the app is very comfortable for me. One more request. Please include Movie in equaliser with movie effects coz the app is mostly used by users to watch movies, not to listen to MP3s.",362,4,"April 24, 2020"
Robert van der Laan - Clement,"Love the regular PC version, and this app has potential, but it's just so buggy and broken 👎 Just some issues: when clicking on an audio track, it doesn't just play and when done, continues to the next, but instead it opens a tab at the bottom with only that 1 track on repeat..When watching a video, you can't add it to a playlist (instead it will add ALL videos from your library to that playlist 😵😠). After searching a title of a video, you get the WRONG 1 when clicking on any found video.. 😡",184,1,"April 24, 2020"
Plisetsky,It lags the video and its too hard to pause it. Whenever i hit the pause button it lags the video so i just double tap it to stop but turns out it flashforward. Its kinda annoying. I thought this will help me watch videos and movies unlike on my video player but it is kinda worst. I have vlc on my phone last time but not like this.,1,1,"May 1, 2020"
Kudale Manoj,"The app is fine. But the problem is that if we receive a phone call while watching a video, we cannot continue, instead we have to close the app and restart it and in the process the video starts from beginning and we have to go for searching where we were. Hope this problem will be fixed at the earliest.",1,2,"May 1, 2020"
Dennis Penglase,"I've used this app since the Beta version and ABSOLUTELY LOVE IT! There's NOTHING even close to it. And it's FREE! I've given it one star in hopes this gets attention. A few updates ago, for some reason, it's started saving a pic locally (NOT ON MY SD CARD WHERE THE APP IS) for every single mp3 file. 10 songs in an album? Ten pictures saved. It's an issue. Due to the amount of music I have on my phone the data size locally is close to 2 gigs!!! Can this be fixed?",15,2,"April 24, 2020"
Kashish Bhatia,"I use the Screen cast (screen mirroring) option on my OnePlus 7t pro and then play videos through VLC. Since a few days, when I play the video after mirroring the screen, I see the Cast remote icon on the TV, same as the screen but the audio plays. Updated VLC to the latest version, but doesn't help. Using chromecast for the same btw and phone on Android 10. Please fix.",193,1,"April 20, 2020"
jack waller,"Having a big issue with the player not locking onto English in sound, I play a movie and boom German until I go into settings almost every time and switch it to English and I even put the lock ln and save and nope keeps doing it! Other then that I would give 5 stars happily",1,4,"May 1, 2020"
Anthony Smith,This is a great video player that can play files from phone storage and network shares but presently has some Chrome casting issues. Phone display keeps turning off preventing easy movie control and dropping the cast. Need a default option to keep screen on while casting. No subtitles during casting either. Would love to see these little issues fixed soon. Keep up the good work.,124,1,"April 27, 2020"
G D,"Does not play Youtube videosaudio properly. Many times will not play them at all. How to recreate bug: create playlist with 2 YT vids. Play the playlist on repeat. Wait until the bug shows up. Also there is no option to create proper Stream based playlist, with ability to name the tracks. Instead you get URL for track names...",99,4,"April 28, 2020"
James Douglas,"Can't be shut off! Always active! I use my headphone in-line controls for other apps. VLC ALWAYS! responds to the playstop button even when its supposedly inactive & stopped, even from within other apps that use this feature. There is no way to shut VLC down! MX Player and other apps don't do this. (Did a search re this and found the dev(s) has some hardsetwonky issues regarding 'QuitExit' feature requests. And whats with the sandboxed process0 entry in Memory list? On Note 9 Android 9",83,2,"April 25, 2020"
Hemant Kumar,"Best vedio player for watching movies. Some of the best features are downloading subtitle, it also maximize the volume upto 200. Suggestions: after downloading the subtitles we need to unzip it then need to select the subtitle, some convenient should offer in this process so that it can we accomplish seamlessly",1,2,"April 30, 2020"
Jacob Ford,"Make sure you back up your SD card. This app corrupted mine and I lost all my pictures and videos. It's buggy with several features that just don't work such as designating only certain folders to be scanned and creating playlists. The only good part about this app is that it does, infact, play videos.",13,5,"April 26, 2020"
David Elfleet,"Generally it does appear to be a good all round media player. However I have to drop a star since with last update the subtitles for videos played in landscape mode are not formated to the scale of the displayed video and as such unusable. Brilliant for use with dlna, pity about subtitles.",2,1,"April 28, 2020"
M Pell,"The app hangs when starting up if it is running from an SD card. It the app is moved back to device memory, it runs without problems. Android shows that this app can be moved to SD storage, but VLC does not run when that is done. Looking for an media player app that can actually run from SD storage to spare my limited phone memory.",35,4,"April 20, 2020"
Curtis Keen,Great app always has been But I need it for two things now 1. Is casting to my bedroom tv using a chromecast and it will detect the chromecast and work 2. Is connect to my living room smart tv (samsung) and will not come up with the option. Hopefully an easy fix as other apps will detect all casting deveices,2,2,"April 28, 2020"
Carol Tatarian,"Awful. Installed in on Samsung Android 9. Can't open my photos on SD card. Says Directory is empty, and it's not empty. Nothing wrong with SD card. Photos are there. What's up VLC? Tried moving app from internal to SD card , but then the app won't open.",,4,"May 1, 2020"
GAURAV RATHOD,"If we pause video and screen gets locked, after unlocking the screen it doesn't play the video from where it was paused. It crashes and have to start all over again... PS: It still doesn't have feature to skip to the time where it was closed... 😑. Please fix this ASAP 🙏",,1,"April 30, 2020"
Paul Molitor,"will not play URLs if you don't give it storage permission! Does nobody test this? I doesn't need access for anything I want to do with it, yet refuses to work without. now also seems to apply tricks to run in the background, seeing notifications pop up and disappear all the time.",5,2,"April 27, 2020"
Favour Emman,"I have been using this app since 2015 and it has always been good, no crash whatsoever until last week! I'm unable to download subtitles. It just keeps saying 'error occured'. And my friends have the same issue, some already deleted the app. You guys should plesse look into it",17,1,"April 23, 2020"
Subhadeep Pal,"In contrast to the pc version of this app, it sucks. There are many better video players on the play store. It is too simple, I can't see the codec used by the video or the resolution when the video is playing. I only use it because it has no ads and supports a wide variety of formats.",3,1,"April 28, 2020"
chintan gandhi,"No feature to select a particular language to always play first in case of a video with multiple audio. I have been waiting for this feature for so long. Kindly add this feature as I no longer use MX player which already has this feature inbuilt. Nokia 6.1, Android 10.",5,3,"April 27, 2020"
GrimMo,"The best app ever. I have downloaded many anime such as Naruto Shippuden, One Piece and many more. This was the perfect app to watch all of them. I also listen to music I downloaded on VLC for Android rather than listening it on google play music and it was very great! But I think this app would be more awesome if you add a lyrics download for music just like the subtitles download for video. Other than that it was an AWESOME APP! Highly Recommended!",3,1,"April 29, 2020"
Kyler Greywacz,"There's some problems with the A-B Playback, with the button not changing when you disable it after using it, Another thing that kind of annoys me is when I do the repeat song option, it only stays on that song when trying to advance my current list of songs. Other than that, love the app",22,5,"April 20, 2020"
Alex Molina,"This has been my go-to app for years for media files. However, it's UI has become somewhat cranky lately. Sometimes the Play All button doesn't show up. In the 3.2.11 release on my Samsung, if I move app from internal memory to SD Card the UI disappears entirely until I move it back.",20,4,"April 21, 2020"
Papito Rey,"Seems to be ok but a Chargement notification keep on displaying. Very strange ... Impossible to find what VLC is looking for, or charging !! I disabled all automatic process, I don't have any media library configured. It's really annoying. I Uninstall",1,3,"April 29, 2020"
Saeed Simmons,"I don't know what's going on, but this has been my apps for many many years. Even on my laptop. Sense this new update, it doesn't even cast.. It recycles on the main page, by it self. An it doesn't go into portrait mode.. this is weird an crazy. Not like VLC..",4,1,"April 28, 2020"
Abhijit Biswas,"I love VLC since childhood really but recently I've been having this issue on my phone. I am using a Redmi Note 8 which has a 18.5:9 aspect ratio, when i go to fill screen for video to get best experience of viewing, the subtitles move off the screen, tried many workarounds but nothing. Please fix this issue!",10,2,"April 26, 2020"
Jonathan Ramirez,"Persistent loading notification even when the app isn't in use. Force closing removes it temporarily and then it reappears on its own. Haven't used the app to watch a video in quite a while, no reason for this notification to appear.",,3,"April 29, 2020"
Iama Strawman,Always great when it works. Keeps giving me a problem with not being able to find the right path to pull what I have already downloaded. Could be better if they could give tutorial on how and where to find path u can manually enter so it can find them.,22,1,"April 21, 2020"
Akintunde Omobolaji,"It's not quite the former app before the update. Now I am unable to download subtitles, it stopped working since like 5 updates ago... Vlc needs to fix this cos I've been going through the pain of having to download manually from my browser and attaching to the app. That's old school, pls fix",20,3,"April 23, 2020"
Oreo Maxi,"I like to add something in this , video folders must b added , like the video is downloaded from fb so the folder should also be separated , like other apps they have separate all the video options for different downloaded videos , like insta video folder, fb video folder , camera video folder , i hope u guys understand it and in next update u guys also add this option ♥️",6,3,"April 23, 2020"
Felicity Foo,"Aside from an old-school layout, it works well and has the highest format-compatibility on android. A major issue, however, is casting as the subtitles are non-existent.",9,4,"April 23, 2020"
CosyHamster,I held it off for a while because I thought it would be your modern day audiovideo player. I was 100% wrong! It had all the settings I needed and served it's purpose easily. Recommended for new tech people and tech savy people!,9,4,"April 22, 2020"
Nightcore Millenium,Why does it always play fast even i didn't turn on the save playback speed anytime i play videos? I only tune the playback speed once but when i play the same video it didn't play as default speed please fix this its annoying to turn the speed manually. Same happened to my phone and tablet,21,5,"April 27, 2020"
Kween jade,Love this app. When others don't worth this one does. It supports several file types and is available on several devices. Love how detailed the developers get when listing the new update features. This app is totally worth it!,36,1,"April 20, 2020"
amit jaiswal,"Perfect, mind blowing, amzing experience but just solve 2 issues please.. 1. Manual search of subtitle should automatically paste name of movie in search bar.. as mx player does.. offcourse no one is going to type the movie name 2. When forwarding videos only then it lags a bit..",24,5,"April 22, 2020"
Don Greer,I find not being able to organize the order of the songs in the playlists very frustrating. The order you add them is the order they will stay in. Many of my playlists need a certain order. This makes the playlist feature pretty much useless.,12,5,"April 24, 2020"
Max Reed,"Sleep timer is broken. It works only if the screen is on. But when the screen is off, the music keeps playing forever regardless of the sleep time set. Please fix it.",,2,"April 30, 2020"
Apesar Detudo,"Shuffle playback is horrible! The same files repeat, the others never play, just like it does on my desktop. Everything else works for me. I like it!",4,3,"April 27, 2020"
Lennox Nkunkuma,"As i am speaking it refuses to show content when I open it on my samsung A260f, it just shows a blank screen. I cannot exit clicking back twice, i must close it tab wise or with home button. Now I can't finish nanatsu no tazai: kamigami no gekirin😏.",6,5,"April 23, 2020"
Tobias Poulsen,"Suddenly, without using the app, it pops up daily with a loading notification. This notification persists until I force stop the app. Then it's back within 24 hours. I haven't even been using the app for months.",20,2,"April 23, 2020"
hazeera hanz,"Try to improve adding multiple of subtitles with adjustment of simultaneosly in one video. Please dear videolabs producer, create VLCshare like MXshare. And please try to add search lyrics manually and automatically.",4,1,"April 27, 2020"
kaseki Izuma,"There is some bug that i have encounter... The one annoyed me most is when you scroll down to a certain number of videos, it will star to play the first video whenever you select any video from down there (maybe go down to 300-400 vids ?)",1,5,"April 29, 2020"
Robertus Kurniawan,Suddenly I can not stream video from HTTP anymore (other Apps can stream video without problem). Sometimes VLC stream does not responding (freeze). Sometimes VLC play video and freeze after streaming 11 second. Please fix this. Thanks.,5,3,"April 26, 2020"
JS W,"Remarkably slow FTP access. Weirdly slow. I use VLC on Android to play videos from a Nas via FTP, and VLC takes multiple seconds to list directories but for other laptops on wifi it's instant. What's up with that?",3,2,"April 23, 2020"
Chetna Gandhi,"In case of multiple audio in a single video file, option to select so that a particular language always plays when playing any video is missing in your vlc. Kindly add this feature already available on MX player.",4,3,"April 27, 2020"
Vera Tens,"Used to love this app, but recently having major problems- mostly not recognising or not able to access data on storage. I am hoping the ne t update will sort this, because otherwise I give up...",4,1,"April 23, 2020"
Nicolas Haddad,"Vlc is great and reads every file but the issue today for the first time happens that my samsung tv couldnt smart view with the app wich is happening for the very first time , tried to find any update but couldnt, thanks in advance",4,3,"April 25, 2020"
Taiwo Femi,"Hey VLC, I have been having issues with downloading subtitles ever since I updated the app. I would find the list of subtitles but none would download. It is really frustrating.",5,5,"April 24, 2020"
Vladthe Grim,"Only has repeat, it doesn't have scramble the audio tracks option (it has the button for it but it doesn't work, the audio instead repeats again), which totally sucks",3,1,"April 27, 2020"
Franklyn Michael,"I like this app but. I'm having troubles downloading subtitles keep sending an error message saying i should try again in few seconds and regarding the music play, it doesn't move on to the next track after playing one.",3,1,"April 26, 2020"
aye thinzarlinn,"The new update is bad . When I watching movie , in beginning of movie I slide forward it normal, In the middle of the movie I slide forward 20 second but it go backwards. When quite the VLC . Well it go normal then it happens again",8,2,"April 25, 2020"
Adegboye Ibukunoluwa,I downloaded cause of the subtittle download feature...but I cant use it...I uninstalled it over and over but that feature is not really working...so I download subtittle files on another browser then select it on VLC...not cool,4,1,"April 27, 2020"
Louis Brown,"It's taken to showing a black screen and freezing on startup. I had to uninstall and reinstall it, and that fixed it...but that's been twice so far. Other than that, its great.",6,2,"April 23, 2020"
Mike R,"Best option for watching ur movies or shows, i was sold on the volume controls alone. .not just 100% loud but it can give u 200% loud. I can fine tune my movie to actually hear it on my s8 really tho..",,4,"May 1, 2020"
Bridget Gonzalez,Good plays the videos but the only thing is you can't save the video to your camera roll wish it did so I could upload the videos to my social media. I can only play them on my phone using this app now,10,5,"April 21, 2020"
James Lucas,"Mmm. it scanned my device when I had not given permission. 1 star but extra star cause it is great. I like the interface, and that I can cast. Could be good to filter for video only in a given folder.",10,4,"April 21, 2020"
eric clington,"The app until recently used to be able to download movie subtitles. I hope this latest development is looked into, and corrected as soon as possible.",,2,"April 28, 2020"
j a,I really like this app because it smoothly with all my media accounts. Thank you for a bug free program. Why can't the big tech companies make one?.,3,2,"April 27, 2020"
P Doc,"Is good in general but if I connect my Bluetooth earpods, it starts playing music automatically, even if not commanded. Very irritating. Unable to stop this.",3,4,"April 23, 2020"
Adrian Mckee,"Great player, if this was a paid app I would definitely $$$. The only small criticism is the buttons are small a bigger playpause button would be awsome.",,4,"April 29, 2020"
Peter Allen,"Used to be able to cast to my Chromecast, but something is now broken and the cast icon is missing. I'm using a Google Pixel2 XL with the latest version of Android 10.",4,5,"April 26, 2020"
Nana Ohemeng,"The ubiquitous app! However I need to report a problem. The subtitle download function is broken. I've reset the app, even reinstalling it just doesn't work. Please look into it",9,3,"April 23, 2020"
D Tucci,"A good all round video player which is available for a multitude of devices. I like that i only had to learn to use once and it was the same on my phone, tablet, PC, Roku, you name it...",4,3,"April 22, 2020"
giusti88,It won't shut down now since the latest update. It is also auto scanning all the time even though I have auto scan off in the settings.,23,4,"April 21, 2020"
Joseph Corredor,"VLC does not save Playlists on Nvidia Shield vis Network where media is saved. Also, on Shield itself! USB Drive goes unrecognized but other apps have no issues.. Sad, Windows 10 VLC finds and plays everything..",,1,"April 28, 2020"
ASSFACE !,I want to have a very basic feature that I can hear the audio from phone while I cast the video on TV so that I can use earphones while seeing on the TV although it's a great app. Please I want that very little features,8,2,"April 21, 2020"
scott hepborn,"Very difficult to create and modify play lists. I use the windows version on computer and love that version, that is only reason rating is not lower.",4,5,"April 22, 2020"
Sagar Aryal,I hate to see No media files found.... message every time I open the app. A splash screen for the loading process would be better and intuitive.,4,2,"April 25, 2020"
Neil Degiorgio,It's a very good app however when I try to cast my videos to my android TV it doesn't find the TV for some reason and it really backfires as the app is good in all.,4,3,"April 28, 2020"
Hilal Karimjee,"I installed the latest version, it refused to work and gave a blank white page when I tried to play music. This is the second time or installing. Using Android Nougat. Have uninstalled it.",12,4,"April 20, 2020"
Graham Judge,Was fine till last week ( mid april ) but now it wont open .tap on app black screen for half second then back to homescreen. Ive tried updating the app and uninstall and reinstall and nothing works,4,1,"April 26, 2020"
Nikhith M,"While watching a movie if we try to forward te scenes at some point ,the whole screen turns green and the audio will be playing untill we unplug the memory neither restarting the phone or TV",4,1,"April 27, 2020"
Aaron Loessberg-Zahl,"Doesn't play variable bitrate MP3 files. Said files play fine in the desktop app, but the Android app immediately closes when I try to use it to play them.",4,1,"April 26, 2020"
Incredikad X,I started using this app waaay back in the day. Years ago! I discovered in on PC and tossed Windows media player. Download VLC and it will be the last time you will need to find another player. It is pretty amazing the many various file formats this thing can handle. VLC has no real competition as far as I am concerned 👍👍,3,2,"April 25, 2020"
Mario Papa,The best open source audiovideo playing program both on windowsandroid. It would be better to add the feature wbere the user can install vlc extensions on android version too. Regards.,3,5,"April 24, 2020"
Docnacc Nwaigwe,"The Subtitles aren't loading again. Why does that even happen. Until you fix it, I don't think I'm giving you more stars",,4,"May 1, 2020"
Milan Golubović,Installed it on smart tv. Everything is well and movie runs smooth until subtitle is displayed. Then framerate drastically drops?! Please optimize subtitles somehow.,7,1,"April 20, 2020"
Stasys Kulvis,"I think that it would be great if you could put some more features in. I think it would be nice to have a more convenient option for the alphabetical scroll, one that is instantly available without having to fumble around with the tiny scrollbar. Would be nice if it was still on the right hand side of the list view, but somehow big enough for an actual thumb. Also would be nice if there was an option to lock the header bar while scrolling through the list. Still the best media player tho, XoX",86,3,"April 18, 2020"
The Revealer,"I m Using VLC Media Player From Over A Decade But I found A Problem In Both PC Version And Android,That VLC Can not Run TS,And MKV Format videos Smoothly,Otherwise its One of The Most Best media player i have ever used",2,4,"April 28, 2020"
Josh R,I have this app solely to cast video and it doesn't really do that well at all. Volume control doesn't work (meaning I have to use my tv remote instead of phone to change volume). Organisation of videos is clunky. Subtitles do not work. I download them through the app and separently (through a subtitle website) and tried to add them. Still doesn't work. Also then doesn't cast the subtitles.,26,4,"April 17, 2020"
Dharam Singh,"Best Media player out there. Everyone should install it easy to use, low battery consumption, No ads, No crashes, Perfect Media player for listing to music or watching movies of any format",23,1,"April 21, 2020"
mehedi hasan,Can you please check casting option? Casting automatically get disconnected sometimes when trying to pause with tv remote.And sometimes without any reason.Please sort out the problem.Thanks.,7,5,"April 25, 2020"
Jathin Jaishur,"Video file names with number only are not arranged properly.Please add next video button in the video player, it's so annoying to go back and tap on next video from list to watch",3,1,"April 27, 2020"
Agele Ayo,This is the only video application i can recommend to any adroid users out there who want to have the best feelings of watching uninterrupted and high quality videos showing on their device. You can also easily download subtitles of movies on your phone at a very cheap and affordable rate. Highly recommended.,1,3,"April 30, 2020"
Duncan Camilleri,"Overall vlc is great. I use it everywhere and love it but unfortunately, this time I cannot rate it high. Why do I have to re type my credentials every time for each folder while browsing an smb file system? Double on that, even if the option to remember the password is ticked? Please let me see a fix for this. This makes the software unusable - its unacceptable having to install broken software on systems because of bugs like this. When I see a fix, I will reconsider my rating - sorry.",220,4,"April 13, 2020"
Muneeb Amir,It used to be great and I used to love VLC but recently it started this new problem in which it does not detect the subtitle file which is present in my device(Android). I downloaded alot of subtitle files for the same movie but it didnt even detect a single one. This was very troubling and I even tried the download subtitle option but it wont work either. Please fix this problem and I will rate it five stars again.,274,1,"April 13, 2020"
kristian V.,The videos i'm playing sometimes glitch. I want to send you what i'm experiencing. But i don't know how. Hoping you notice my report. I really like the app though..,3,2,"April 22, 2020"
Arshnoor Bajaj,Was very good #best video player app before the latest update. Now it has become a ordinary video player. Hope to get the previous version app.,5,3,"April 27, 2020"
Joseph Mary,"The cast button takes forever to appear if at all, I have to cast different apps to chromecast to get it to show in vlc player, also I don't like when it continuously scrolls to show all of the title of videos. The cast to chromecast problem has been there for many years now, I even uninstalled and reinstalled and the new update don't fix it. That's why I only use this for the movies that won't cast with my other casting apps.",31,1,"April 14, 2020"
Ikuo Khresna,Great!!! I'm just found something interesting from this App. For you guys who love to listen to songs as background music when you're playing games or studying on your phone but unfortunately the song's volume is too loud..you can edit the equalizer on this App and The too loud song's volume won't bother you anymore..The equalizer effect is only giving effect to the songs that played on This App. I just found this hack a couple minutes ago. THANKS DEVELOPER. THANKS VLC. You're all the BEST.,157,2,"April 18, 2020"
Melanie Davila,Been so glitchy casting and just testing to watch playlists in general (whether casting or on phone). Constantly skips or just cuts off.,6,5,"April 22, 2020"
Cat Doy,"The subtitle in the extra settings doesnt do anything, i put it in huge and the color green and the subtitle is still small and white",5,2,"April 24, 2020"
Evan Sur,I'm downloading the subtitles files repeatedly but they are appearing no where while playing a movie. I have even tried to find that SRT Subtitle file in my File manager to search its location but I can't find it. Please fix this issue asap !! 'Select subtitle file' option is also tried by multiple times. But there is no sign of the Downloaded Subtitle file so how can I select. This issue is making me crazy while watching movies !!!!!!!!!! It's been 2 days this problem is happening to me.,436,2,"April 10, 2020"
Igor Podgorski,"Plays all the files OK. VLC is a standard. On Android subtitles are not visible during casting to Chromecast. They are visible when watched on smartphonetablet, though. I found a workaround to start the video on mobile device, with subtitles on (they're visible on mobile screen), then cast the whole device's screen from the system menunotifications, not from VLC. VLC figures out that it is being cast so it stops playing video on mobile device as it plays on Chromecast. Subtitles now show in cast to Chromecast. However, this is a strange mix of cast whole screen and cast video from VLC (VLC is aware of the ongoing cast), the screen has to stay on (no locking) although nothing is playing on it, just big VLC streaming logo. But the subtitles are now visible. It'd be great to get a fix for this. Works great from an SMB share, too.",489,1,"April 16, 2020"
Arvind Pillai,After opening a media file via file manager on minimising the app and while trying to return to the app it shows 'App isn't available'. Just for this reason i am giving it 1 star. This is a great app but this issue makes it unusable... even after a couple of updates it wasn't fixed. Suggestion- Insert the name of file in manual search of subtitle by default. Editing is easy instead of typing the whole name. Android One - Mi A3 Android version 10 User.,362,4,"April 16, 2020"
Thandiwe Tshabalala,It no longer registers videos. What's up with that? Great for audio though.,3,1,"April 27, 2020"
dhyan soni,I love this app. But last couple of months there is subtitles issues.... In every files. I checked it with all So please fox this as soon as possible.,7,2,"April 22, 2020"
Sockfoot,Audio drags out of sync with video when using my bluetooth speaker. MX Player does not have that problem.,2,1,"April 27, 2020"
Harry M,"The big problem with this app is that EVERY TIME i start playing a video (even if it is the same video i played before) it is unlocked which means it can rotate depending on the orientation of my tablet. What is needed here is an option in the settings to lock it to landscape mode or portrait mode, or to remember the last setting. Having to rotate the tablet 90 degrees, tap the lock button and then rotate the tablet back EVERY TIME I start playing a video is *BEEP* ANNOYING :-(",152,2,"April 5, 2020"
Antonio Fredericks,i love how this app actually boost your audio and video performance on the device it is used on. definatly one of the best video players ever,2,4,"April 22, 2020"
isaac orji,"Versatile. Quite useful, try fixing the bugs affecting subtitles and playback, it'd go a long way in improving the experience.",6,5,"April 26, 2020"
Edrine Mark Nabugere,This player is really fantastic and i would recommend each one of you to download it........Always the best just like the pc version.,3,4,"April 25, 2020"
enoma fidelis,"I think the app is great, but the users should be able to re-arrange a song in a playlist without starting all over",2,5,"April 27, 2020"
Daniel Armstrong,"It would be great if it worked properly. When playing a live stream it doesn't retry on a network change, so if the Wi-Fi reconnects or mobile data changes between EG 1xRTT, EvDO, and LTE it just stops playing entirely. This is really annoying. Streaming is literally the only thing I use it for because compared to the Windows version this is useless. I'm on an LG V20 which has the high end DAC that supports many sample rates and I'm pretty sure this VLC just uses the Android 48kHz default.",49,3,"April 3, 2020"
saurabh singh,Awesome video player app. No having any ads is what I like the most. Recent updates have made this app really runs more swiftly. Nice app!,10,1,"April 20, 2020"
Hanakin Sidewalker,"When streaming online content we cannot load downloaded subtitles present in our local storage please fix this issue asap, it is ruining the entire experience",1,5,"April 27, 2020"
aarohi menezes,"I love The subtitles feature but Everytime we leave the app and come back, we have to search the subtitles and put them again.... It's a big problem for people who have many videos that require subtitles... It becomes hard to search through all the subtitles Could you please add a feature in which the subtitles you added before doesn't go...? But this is still the best media player 💚💚",130,3,"April 18, 2020"
we can,"Very good app and open sourced. Thank you. Just one feature is very much needed: changing playback quickly, easily through gesture. I watch lots of videos and can't afford to watch at normal speed and so for me changing speeds is very frequent even within a single video. It was easy in mxplayer by two finger vertical swipe but vlc doesn't support that. Only this facility has kept me from switching to vlc. Hope? And desktop app is great with even customisable hotkeys for changing speed, thanks.",622,4,"April 3, 2020"
Alan Harbater,"I have this app installed on my Moto phone. I've uploaded from my computer around 90 carefully selected jazz albums - mostly WMA, some MP3 and a little FLAC formats. With my phone listening at least I shuffle the tracks exclusively. For my musical uses almost perfect. Improvement can come with making shuffle mode more truly random. Add loudness normalization and my life would be complete. Thanks for an excellent app.",48,5,"April 4, 2020"
Prashanth Kumar M,"There is a bug I noticed, everytime I pause a video and play it back, 2-3 audio getting mute, fix it remaining ok",2,5,"April 24, 2020"
Jatin Bajracharya,"Sometimes, subtitles won't get downloaded. Not included: nextprevious buttons, remaining time of video, and many more...",3,4,"April 26, 2020"
Arpan Ghole,"What has happened I don't know but VLC in my mobile is not supporting subtitles. Though I add them manually they are shown in the subtitle list, but no subtitle in the video.. tried uninstalling, deleting cache, data everything..but the problem remains the same.. Please suggest something.",7,1,"April 18, 2020"
Daniel Unsworth,Best at what it does. Sadly lately it seems to give me to many notifications and disabling them all together would men loosing them when when I accualy need them. Uninstall,1,3,"April 27, 2020"
Sanjay Lunar,"This app is great, sound and video quality is much better then others app,I like it.",,3,"April 29, 2020"
Nyakallo Mokgeseng,"It's exceptional, the fact that I'm able to play a video as an audio it's great.",2,1,"April 22, 2020"
Abhay Dhabra,Very best app ... But sometimes it doesn't load the videos in player. please fix this issue.,3,5,"April 23, 2020"
Maxell Ray Tandan,Annoyingly auto-plays audio in the background upon using headphones. No option to stop auto-play.,,5,"May 1, 2020"
TB A,"The new updates are terrible. They make the product almost completely unusable compared to previous versions. It should not take 10 seconds or more to load a playlist, and I don't care how many tracks there are on the playlist. Playlists linger after I have tried to delete them. The only thing the updates have fixed is blank playlists showing up. That's still simply not good enough if the trade off is an app that lags so much you're considering using the crappy pre-installed app. Nonsense.",257,1,"March 18, 2020"
