,Name,Review,Label,UpVotes,Rating,Date,Keywords
10,James Johnson,"The Playlist experience is broken. If I change a Playlist, it doesn't auto-save like Microsoft Groove did. So I have to save the Playlist again. Except when I save over the existing Playlist, it appends the tracks to the existing Playlist instead of replacing the original list. So I have a playksit ",Functional Complaint,137.0,1.0,"February 8, 2020","['playlist experience', 'broken', 'change', 'playlist', 'doesn', 'auto-save', 'microsoft groove', 'save', 'playlist', 'save', 'existing playlist', 'appends', 'tracks', 'existing playlist', 'replacing', 'original list', 'playksit']"
11,Nintendo Switch,"VLC for Android just isn't up to the standards of its PC counterpart. No matter what android device Ive used, I always run into some sort of hindrance when playing videos. Sound cutting out and not reappearing until I exit, video cutting out or distorting, etc etc. It finds a way to ruin anything I ",Functional Complaint,53.0,2.0,"February 10, 2020","['vlc', 'android', 'isn', 'standards', 'pc counterpart', 'matter', 'android device ive', 'run', 'sort', 'hindrance', 'playing videos', 'sound cutting', 'reappearing', 'exit', 'video cutting', 'distorting', 'finds', 'ruin']"
12,Monster,"With every update VLC becomes more unusable than the previous updates that predated it. Every video will have an issue such as macro blocking, audio suddenly turning off, or the video just randomly shutting off. Trying to cast video to a chromecast will result in, maybe if your lucky, one to two min","Update Issue,Functional Complaint",216.0,2.0,"February 16, 2020","['update vlc', 'unusable', 'previous updates', 'predated', 'video', 'issue', 'macro blocking', 'audio suddenly turning', 'video', 'randomly shutting', 'cast video', 'chromecast', 'result', 'lucky', 'min']"
13,Steven Anthony Eckstine,"Definitely one of the BEST players on Mobile!! Android phones should come stock with this video player!! Easy to use, always really good quality and I never have any problems with it! It's def worth the download!! 💯🤘🤪 highly recommended!! Thnx DEVS!! Amazing Job!! Oh yeah...DUH?! It's a music Pla",Uninteresting Comment,88.0,1.0,"February 17, 2020","['players', 'mobile', 'android phones', 'stock', 'video player', 'easy', 'good quality', 'problems', 'def worth', 'download', '💯🤘🤪 highly recommended', 'thnx devs', 'amazing job', 'yeah', 'duh', 'music pla']"
14,Arthur Schreinemacher,"I only use it to cast content to my chromecast. But the cast button just disappeared after using it one time. Tried everything, reinstalling clear cache clear data tried different wifi networks AND YES my phone an the chromecast are on the same wifi. Please just fix the damn button. Using local cast","User Interface,Functional Complaint",6.0,5.0,"February 16, 2020","['cast content', 'chromecast', 'cast button', 'disappeared', 'time', 'reinstalling clear cache clear data', 'wifi networks', 'phone', 'chromecast', 'wifi', 'fix', 'damn button', 'local cast']"
15,Abdin Khan,"Hi, before I updated. I was able to link my phone screen to the TV and watch as well play with my phone at the same time but now, it just links to the TV but my screen is fully seen so if I come off VLC Player to go on Google, that also shows whereas before it just showed the media file that was sho",Update Issue,58.0,1.0,"February 8, 2020","['updated', 'link', 'phone screen', 'tv', 'watch', 'play', 'phone', 'time', 'links', 'tv', 'screen', 'fully', 'vlc player', 'google', 'shows', 'showed', 'media file', 'sho']"
16,Exzaviermoon,"Like a previous update which did the same, this recent update wiped all my playlists. No music will load into audio list even with directories selected, have to load manually from their locations. Lost my playlists again. Frustrating 😤 Also not loading video correctly. The past update that had this","Update Issue,Functional Complaint",134.0,4.0,"February 8, 2020","['previous update', 'recent update wiped', 'playlists', 'music', 'load', 'audio list', 'directories selected', 'load manually', 'locations', 'lost', 'playlists', 'frustrating 😤', 'loading video correctly', 'past update']"
17,Paul Y,"Before the latest update the Player would cast to the TV and the display on phone would turn off while casting (nice Feature) or you could also use you phone it would still cast the content of the player without issue....now however it doesn't, you have to leave your display on all the time if you p",Update Issue,86.0,2.0,"February 13, 2020","['latest update', 'player', 'cast', 'tv', 'display', 'phone', 'turn', 'casting', 'nice feature', 'phone', 'cast', 'content', 'player', 'issue', 'doesn', 'leave', 'display', 'time']"
18,Amanda Owens,I love VLC very much cos it can open almost every file... I use it to watch all my videos and movies.. But this recent update isn't helping me.. In the previous update am able to download subtitles (I do this especially for movies which has foreign language as the main language). But in this new upd,Update Issue,47.0,4.0,"February 13, 2020","['love vlc', 'cos', 'open', 'file', 'watch', 'videos', 'movies', 'recent update isn', 'helping', 'previous update', 'download subtitles', 'movies', 'foreign language', 'main language', 'upd']"
19,Shakil Meshram,"Some high resolution videos are not playing. On opening the video its saying to use another app called PLAYIT. I am using this app for long time and I love it. But I recently bought an new phone redmi note 8 pro and I downloaded some 4k videos and I tried to play on VLC but when I open it , it says ","Functional Complaint,Compatibility Issue",14.0,3.0,"February 12, 2020","['high resolution videos', 'playing', 'opening', 'video', 'app called playit', 'app', 'long time', 'love', 'recently bought', 'phone redmi note 8 pro', 'downloaded', '4k videos', 'play', 'vlc', 'open']"
20,Sarath S,Its good to be a ad free player. One goodness aganist all terrible things. 1. No exit button 2. If video have inbuilt subs it wont show up I need to download again! 3. No option to stop sub title. 4.Subtitle syncing by ourself never happens in VLC. 5. Everytime I open VLC player it takes 30-50sec to,"Functional Complaint,User Interface,Feature Request",24.0,4.0,"February 15, 2020","['good', 'ad free player', 'goodness aganist', 'terrible things', 'exit button 2', 'video', 'inbuilt subs', 'wont show', 'download', 'option', 'stop', 'title', 'subtitle syncing', 'ourself', 'vlc', 'everytime', 'open vlc player', 'takes 30-50sec']"
21,JD,"Twice now in the past couple of months, I have had all my TV shows and movies downloaded here and twice within a couple of days most or partial of them are gone? I don't know if this has to do with an update, but whatever it is it's not working. Frustrating having to go back and put them in again...",Functional Complaint,40.0,1.0,"February 16, 2020","['past couple', 'months', 'tv shows', 'movies downloaded', 'couple', 'days', 'partial', 'don', 'update', 'working', 'frustrating', 'back', 'put']"
22,Alex Pineiro,"When watching a video and I pause it and my phone screen turns off, when I get back to the video the position of the video is correct but volume settings and subtitle sync delay I set gets reset, forcing me to redo the sync and volume settings every time I pause a video for a few minutes. Because of",Functional Complaint,124.0,2.0,"February 14, 2020","['watching', 'video', 'pause', 'phone screen turns', 'back', 'video', 'position', 'video', 'correct', 'volume settings', 'subtitle sync delay', 'set', 'reset', 'forcing', 'redo', 'sync', 'volume settings', 'time', 'pause', 'video', 'minutes']"
23,Asad Shaikh,This update sucks.. I want the old version back.. When ever I want to increase or decrease the volume by sliding on screen it always skip the video 10 secs.. And the second thing is that when I skip the video by double tap on screen it pauses the video at the same time.. Plz fix this problem as soon,"Functional Complaint,Update Issue",11.0,2.0,"February 14, 2020","['update sucks', 'version back', 'increase', 'decrease', 'volume', 'sliding', 'screen', 'skip', 'video 10 secs', 'thing', 'skip', 'video', 'double tap', 'screen', 'pauses', 'video', 'time', 'plz fix', 'problem']"
24,Lionel Mwangi,"So i finally used VLC today to test it. I only have one request. If i put my music videos and audios in one place, i need them to play that folder like a normal playlist...That is i can play an audio file and click next to play a video file with no problems like MX. If you implement this, i will be ",Feature Request,61.0,1.0,"February 7, 2020","['finally', 'vlc today', 'test', 'request', 'put', 'music videos', 'audios', 'place', 'play', 'folder', 'normal playlist', 'play', 'audio file', 'click', 'play', 'video file', 'problems', 'mx', 'implement']"
25,Shubham Shukla,"It still have the same issue of stopping music while playing video as audio after 30 seconds. Earlier versions did not have this bug but after recent updates this issue came along with it. If there would have been no such issue, I would have given 5 Star ratings cause VLC is the best player for andr",Update Issue,31.0,4.0,"February 5, 2020","['issue', 'stopping music', 'playing video', 'audio', '30 seconds', 'earlier versions', 'bug', 'recent updates', 'issue', 'issue', '5 star ratings', 'vlc', 'player', 'andr']"
26,Bernardo Moreira,"Won't play mkv files I love vlc on my computer, and have used as long as I can remember. I just knew about this app and was I got pretty excited. However, I can't seem to make it play mkv files. I have tried with multiple videos now, and only the first frame plays while the audio works fine... The f",Functional Complaint,23.0,3.0,"February 7, 2020","['won', 'play mkv files', 'love vlc', 'computer', 'long', 'remember', 'knew', 'app', 'pretty excited', 'make', 'play mkv files', 'multiple videos', 'frame plays', 'audio works fine']"
27,Tiaan Flemmng,"Hii all. Im stugeling to download videos from the tubidy site. Everytime i click on download video, it starts to open with vlc. So when ever i download my new songs, i have to delete or disable vlc to download the video. But otherwise, thanx for a great app. Hope everyone can enjoy is as much as i d",Functional Complaint,7.0,2.0,"February 10, 2020","['hii', 'im stugeling', 'download videos', 'tubidy site', 'everytime', 'click', 'download video', 'starts', 'open', 'vlc', 'download', 'songs', 'delete', 'disable vlc', 'download', 'video', 'great app', 'hope', 'enjoy']"
28,Theo Priosti,"Always the best video player, both on PC and mobile. I am not happy with one thing, subtitles in .smi format are not reproduced correctly. A code is shown instead of showing the apostrophe. Both on the computer and on Android. When you have full support for .smi subtitles, you get 5 stars.",Functional Complaint,42.0,4.0,"February 3, 2020","['video player', 'pc', 'mobile', 'happy', 'thing', 'subtitles', 'smi format', 'reproduced correctly', 'code', 'shown', 'showing', 'apostrophe', 'computer', 'android', 'full support', 'smi subtitles', '5 stars']"
29,Denis Bach,"This is the Swiss Army knife for Android, Fire and PC! 1.It plays every AV file type. 2.It speeds up talkies with minimal artifacts. 3.It slows down music without changing the key and with minimal artifacts. 4.Hotkeys on PC are useful. OPEN SOURCE IS THE FUTURE! Meritocracy, scientific method and ",Uninteresting Comment,18.0,3.0,"February 8, 2020","['swiss army knife', 'android', 'fire', 'pc', 'plays', 'av file type', 'speeds', 'talkies', 'minimal artifacts', 'slows', 'music', 'changing', 'key', 'minimal artifacts', 'hotkeys', 'pc', 'open source', 'future', 'meritocracy', 'scientific method']"
30,Alexandra Wolfe,This has been my primary video playing app for years but the latest update has really done a number on it. It forgets where it is and has trouble with some files types it never had before. It's still my preferred but if problems continue I will find something else.,Update Issue,20.0,5.0,"February 8, 2020","['primary video playing app', 'years', 'latest update', 'number', 'forgets', 'trouble', 'files types', 'preferred', 'problems continue', 'find']"
31,paquito malgesto,"Damn guys I don't know what you did bit I hope you can undo it, mi vlc was working just fine, now it doesn't shows all my videos, can't sort them by size, video suddenly stops to rescan libraries, all kind of troubles it didn't had in the previous version. I hope you can fix it because this is still",Update Issue,54.0,3.0,"February 5, 2020","['damn guys', 'don', 'bit', 'hope', 'undo', 'mi vlc', 'working', 'fine', 'doesn', 'shows', 'videos', 'sort', 'size', 'video suddenly stops', 'rescan libraries', 'kind', 'troubles', 'didn', 'previous version', 'hope', 'fix']"
32,desreveR Kepler,Problem on having it to fit screen it just only zoomed the video. Can you fix this? I have some videos on sd and when i resize it to best fit or others except the fit screen it have a big border. Well on 720p it have no problem wheb just having it on center. JUST FIX THE FIT screen thats all that I,Functional Complaint,28.0,2.0,"February 6, 2020","['problem', 'fit screen', 'zoomed', 'video', 'fix', 'videos', 'sd', 'resize', 'fit', 'fit screen', 'big border', '720p', 'problem wheb', 'center', 'fix', 'fit screen']"
33,Daniel Leiman,Not liking the overhaul The new vlc has less options a worse ui No option for grid view Resume last playlist doesn't work Lost all previously saved playlists No sort by date or last played I am very disappointed with the (2nd to most recent) VLC update and that they have released an additional updat,"Functional Complaint,User Interface,Update Issue",90.0,3.0,"February 11, 2020","['liking', 'overhaul', 'vlc', 'options', 'worse ui', 'option', 'grid view resume', 'playlist doesn', 'work lost', 'previously saved playlists', 'sort', 'date', 'played', 'disappointed', '2nd', 'recent', 'vlc update', 'released', 'additional updat']"
34,Shailen Sobhee,My video played as audio keeps stopping all the time. I did disable battery optimisation. Really can't figure out why the video keeps stopping after some time. I then need to pull out my phone and press play again.,Functional Complaint,6.0,1.0,"February 14, 2020","['video played', 'audio', 'stopping', 'time', 'disable battery optimisation', 'figure', 'video', 'stopping', 'time', 'pull', 'phone', 'press play']"
35,Anno Niem,"Updates shouldn't remove functionality, but they did. And wat were they thinking making longer filename's  tiles scroll? I can hardly read episode name or number anymore as one of them is constantly off screen. And ofc no setting to disable something like that.",Update Issue,9.0,1.0,"February 14, 2020","['updates shouldn', 'remove functionality', 'wat', 'thinking making longer filename', 'tiles scroll', 'read episode', 'number anymore', 'constantly', 'screen', 'ofc', 'setting', 'disable']"
36,Keith Prescott,"I have used VLC across many platforms for probably the last 19 years and while there are a few extra options I would like for audio playback, I still recommend VLC exclusively to anyone that needs any type of media player.",Uninteresting Comment,5.0,1.0,"February 17, 2020","['vlc', 'platforms', '19 years', 'extra options', 'audio playback', 'recommend vlc exclusively', 'type', 'media player']"
37,Loreflor Mina,"Simply the best player on all platforms be it Android, Windows or Linux..runs all formats from mp3 to FLAC to x265 with no problems at all..also have plenty of awesome features like the ability to play videos in the background.. a feature that android lacked for 10 versions",Uninteresting Comment,40.0,5.0,"February 2, 2020","['simply', 'player', 'platforms', 'android', 'windows', 'linux', 'runs', 'formats', 'mp3', 'flac', 'x265', 'problems', 'plenty', 'awesome features', 'ability', 'play videos', 'background', 'feature', 'android lacked', '10 versions']"
38,Jordan Goretti,"It's a solid media player. Every time the app is launched and the first song is played, it crackles and stutters for the first few seconds. It does this EVERY time. Please fix this. It's exceedingly annoying.",Functional Complaint,29.0,5.0,"February 2, 2020","['solid media player', 'time', 'app', 'launched', 'song', 'played', 'crackles', 'stutters', 'seconds', 'time', 'fix', 'exceedingly annoying']"
39,Clinton Scotcher,A very good Music and Video Application. Reads various files very well. Playback is smooth and the EQ is welcome bonus. And thank you for making this professional application free as it is one of the best available. *****,Uninteresting Comment,1357.0,4.0,"February 2, 2020","['good music', 'video application', 'reads', 'files', 'playback', 'smooth', 'eq', 'bonus', 'making', 'professional application free', '*****']"
40,vivek seran,Screen cast has stopped working. It says file path missing or something like that but it works fine on other players. Come on guys you are one of the best media player out there. I don't know how many more people are facing this issue,Functional Complaint,23.0,5.0,"February 8, 2020","['screen cast', 'stopped working', 'file path missing', 'works fine', 'players', 'guys', 'media player', 'don', 'people', 'facing', 'issue']"
41,Antonio Garcia,"Did last update and not working the full screen with one touch icon for full screen and you phone goes on black mode but now you see it on your phone and TV at the same time, please fix this it was a 5 star app.",Update Issue,8.0,2.0,"February 16, 2020","['update', 'working', 'full screen', 'touch icon', 'full screen', 'phone', 'black mode', 'phone', 'tv', 'time', 'fix', '5 star app']"
42,Ioannis Papadopoulos,It stops casting on the TV lately. It simply disappears out of nowhere as if I closed the app. What's the matter?? Mind that I have excluded it from battery optimization,Functional Complaint,4.0,1.0,"February 15, 2020","['stops casting', 'tv', 'simply disappears', 'closed', 'app', 'matter', 'mind', 'excluded', 'battery optimization']"
43,Peter Skeberdis,"A great all around video and music player. Loved it on my PC, it is essential on my mobile devices. Yes, it is feature rich and it takes time to learn the all the fine points, but the effort is worth it.",Uninteresting Comment,36.0,3.0,"February 1, 2020","['great', 'video', 'music player', 'loved', 'pc', 'essential', 'mobile devices', 'feature rich', 'takes time', 'learn', 'fine points', 'effort', 'worth']"
44,Chad Jones,"Of all the countless media players I've used , either on phones or computers, VLC is by far the best. Never had any issues or complaints about it. Make your playlist, turn it on and close the screen an go about your business.",Uninteresting Comment,510.0,5.0,"January 28, 2020","['countless media players', 've', 'phones', 'computers', 'vlc', 'issues', 'complaints', 'make', 'playlist', 'turn', 'close', 'screen', 'business']"
45,Kiel Jordan,I can not for the life of me get subs to load. I have been using this app and it's been working fine for the last year and I have the srt files but it simply will not display.,Functional Complaint,2.0,5.0,"February 15, 2020","['life', 'subs', 'load', 'app', 'working fine', 'year', 'srt files', 'simply', 'display']"
46,Ненад Стефан Илић,"Many possibilities, but many bugs too! Playlists (sometimes) impossible to remove, too long to refresh even with 10 GB RAM!? Streams and iptv lists play options surprisingly very limited!?",Functional Complaint,3.0,4.0,"February 16, 2020","['possibilities', 'bugs', 'playlists', 'impossible', 'remove', 'long', 'refresh', '10 gb ram', 'streams', 'iptv lists play options surprisingly', 'limited']"
47,Augusta Leorok,"This app does not play neither music video nor audio music, I don't exactly understand the problem, it just starts the audio music or video music then sports suddenly using android sumsang j4. Thanks in advance.",Functional Complaint,5.0,2.0,"February 14, 2020","['app', 'play', 'music video', 'audio music', 'don', 'understand', 'problem', 'starts', 'audio music', 'video music', 'sports suddenly', 'android sumsang j4', 'advance']"
48,Gurjeet Singh,After update why video also play on mobile screen when cast to tv. In previous version there is a option to show video on mobile. But after update while casting to tv video plays on both tv and mobile. Plz help,Update Issue,4.0,1.0,"February 17, 2020","['update', 'video', 'play', 'mobile screen', 'cast', 'tv', 'previous version', 'option', 'show video', 'mobile', 'update', 'casting', 'tv video plays', 'tv', 'mobile', 'plz']"
49,Norman Cates,"Really unintuitive. Adding files to playlists is awful! You tap on the playlist name, and it transfers the name down at the bottom as if to create a new playlist. And no indicator anything has happened. Terrible UI","User Interface,Functional Complaint",27.0,1.0,"February 4, 2020","['unintuitive', 'adding files', 'playlists', 'awful', 'tap', 'playlist', 'transfers', 'bottom', 'create', 'playlist', 'indicator', 'happened', 'terrible ui']"
50,Rahul Panwar,Still best media player for me but comes with some issue with new updates for ea. selecting a song but other also get seleceted automatically while making a playlist and recent play option is not like old version ... i hope you guys make it better with new update,Update Issue,15.0,2.0,"February 3, 2020","['media player', 'issue', 'updates', 'ea', 'selecting', 'song', 'seleceted automatically', 'making', 'playlist', 'recent play option', 'version', 'hope', 'guys make', 'update']"
51,Michael Feliu,"Love VLC. However, the Google Chromebook I have is not working well with this version of the product. I find this to be more of a Google issue as VLC has always been dependable for me.",Compatibility Issue,7.0,3.0,"February 12, 2020","['love vlc', 'google chromebook', 'working', 'version', 'product', 'find', 'google issue', 'vlc', 'dependable']"
52,Muhammad Talha,From last update I am unable to download subtitles. Please fix this Before it was very good I updated it again after my last review and problem is still the same. Even performance got worse before it was good.,Update Issue,19.0,2.0,"February 9, 2020","['update', 'unable', 'download subtitles', 'fix', 'good', 'updated', 'review', 'problem', 'performance', 'worse', 'good']"
53,Austine Njunge,It is a good video and music player which plays many video and music formats which probably cannot be played by other apps out there.It is personally my best video player.It is also a good sound booster to the audio of your media files.,Uninteresting Comment,19.0,1.0,"February 12, 2020","['good video', 'music player', 'plays', 'video', 'music formats', 'played', 'apps', 'personally', 'video player', 'good sound booster', 'audio', 'media files']"
54,Grant Galloway,"This app used to be great. I was able to choose & play multiple videos, not anymore. It now only plays the first video chosen and repeats until I choose the next video I want to play. Why?",Functional Complaint,16.0,5.0,"February 3, 2020","['app', 'great', 'choose & play multiple videos', 'anymore', 'plays', 'video chosen', 'repeats', 'choose', 'video', 'play']"
55,Rajat Deb,"I would like to report a bug. I have to load subtitle file everytime, i pause the video, and the screen offs. It happens with the integrated subtitles too",Functional Complaint,1.0,1.0,"February 17, 2020","['report', 'bug', 'load subtitle file everytime', 'pause', 'video', 'screen offs', 'integrated subtitles']"
56,John Smith,This app was great until the past couple of months. The Cast button no longer appears!! It's the ONE reason I got it for Android. I'm sad because I love VLC.,Functional Complaint,74.0,5.0,"February 2, 2020","['app', 'great', 'past couple', 'months', 'cast button', 'longer appears', 'reason', 'android', 'sad', 'love vlc']"
57,Abdul Samad K A,"audio quality not good in android 10. at same time, other video players work well. Cutting out audio in vlc player. Only what I hear is the background music. Just like karaoke of songs. please fix.",Functional Complaint,11.0,3.0,"February 6, 2020","['audio quality', 'good', 'android 10', 'time', 'video players work', 'cutting', 'audio', 'vlc player', 'hear', 'background music', 'karaoke', 'songs', 'fix']"
58,Chetachi Nwabueze,"I still can't download any subtitles. Whenever I search, it brings results but when i click on any, it just doesn't download. Please fix it or I'll have to delete it.",Functional Complaint,11.0,3.0,"February 15, 2020","['download', 'subtitles', 'search', 'brings results', 'click', 'doesn', 'download', 'fix', 'll', 'delete']"
59,Elango Igo,1. Aspect ratio not working in Android TV. 2. Sometime playing movie suddenly getting green screen. 3. Local network tab click and right side ui getting issue.,Functional Complaint,5.0,2.0,"February 13, 2020","['aspect ratio', 'working', 'android tv', 'playing movie suddenly', 'green screen', 'local network tab click', 'side ui', 'issue']"
60,Brandon Bosco,"Incredibly glitchy, which is sad because I've been a fan of VLC for years. They just can't seem to work this app out.",Functional Complaint,8.0,3.0,"February 16, 2020","['incredibly glitchy', 'sad', 've', 'fan', 'vlc', 'years', 'work', 'app']"
61,Luis M,"For those of you having playback issues where it stops after a few seconds to a minute, all you have to do is uninstall and reinstall VLC. Streaming, playing MP3s, etc. Now all play fine without stopping (unless there's an internet issue but that's different). I love this app. Good luck!",Functional Complaint,20.0,2.0,"February 1, 2020","['playback issues', 'stops', 'seconds', 'minute', 'uninstall', 'reinstall vlc', 'streaming', 'playing mp3s', 'play fine', 'stopping', 'internet issue', 'love', 'app', 'good luck']"
62,Kumar Kc,Overall great app it's may be more better if it have video sort by time in video. It take more time to get latest video which I recently added my folder. Please fix it,"User Interface,Update Issue,Feature Request",6.0,4.0,"February 10, 2020","['great app', 'video sort', 'time', 'video', 'time', 'latest video', 'recently added', 'folder', 'fix']"
63,Michael Theron,"Player experience is good however when the app in minimised and opened it will start the video from the start, screen sometimes freezes but overall experience is better than other players iv found",Functional Complaint,3.0,4.0,"February 17, 2020","['player experience', 'good', 'app', 'minimised', 'opened', 'start', 'video', 'start', 'screen', 'freezes', 'experience', 'players iv found']"
64,Chi Aberin,"I was just watching a couple of hours ago and using the nextforward button, which is to the right of the playpause button, like how it is on most players. Now, the forward button is gone and the landscapeportrait mode replaced it. And there is nothing in the options menu to bring it back. What th","Feature Request,User Interface",540.0,4.0,"January 27, 2020","['watching', 'couple', 'hours ago', 'nextforward button', 'playpause button', 'players', 'forward button', 'landscapeportrait mode replaced', 'options menu', 'bring', 'back']"
65,Josh Solwin,The app is very good but downloading subtitles is always hard as it says that it can never find subtitles and I hav to manually type in everything. . This feature was very useful until it stopped working :(,Functional Complaint,10.0,1.0,"February 6, 2020","['app', 'good', 'downloading subtitles', 'hard', 'find subtitles', 'hav', 'manually type', 'feature', 'stopped working']"
66,Anthony Grambo,Data issues when connected via bluetooth. Most of my files cannot be read and get skipped over while connected to vehicle audio system. This has happened on two different vehicles.,Compatibility Issue,117.0,4.0,"February 2, 2020","['data issues', 'connected', 'bluetooth', 'files', 'read', 'skipped', 'connected', 'vehicle audio system', 'happened', 'vehicles']"
67,M G,New update makes it that if you pause video it resumes without sound. Had to go back to my menu and reselect the file to get sound again. Other than that it works great.,Update Issue,15.0,2.0,"February 2, 2020","['update makes', 'pause video', 'resumes', 'sound', 'back', 'menu', 'reselect', 'file', 'sound', 'works great']"
68,Ofili Chidinma,Good day. I tried downloading subtitles with this updated version but its not working. I deeply regret updating because now i can't enjoy my foreign movies. Thank you,Update Issue,6.0,4.0,"February 9, 2020","['good day', 'downloading subtitles', 'updated version', 'working', 'deeply regret updating', 'enjoy', 'foreign movies']"
69,John Gile,VLC is consistently a quality software current with the video developments. It is easy to use and has a good variety of functions to help with watching all videos.,Uninteresting Comment,27.0,1.0,"February 3, 2020","['vlc', 'consistently', 'quality software current', 'video developments', 'easy', 'good variety', 'functions', 'watching', 'videos']"
70,Serge Lespagnard,"Hello, I can't connect to smb anymore with 3.2.7 version on my NinkBox Android TV. Worked fine with 3.1.6. What happens ? Please fix this.",Update Issue,5.0,5.0,"February 4, 2020","['connect', 'smb anymore', '7 version', 'ninkbox android tv', 'worked fine', 'fix']"
71,Freziel Jade Natividad,"Although it's a great media player, my major problem is that subtitles get cropped when I change the screen aspect ratio.",Functional Complaint,3.0,3.0,"February 15, 2020","['great media player', 'major problem', 'subtitles', 'cropped', 'change', 'screen aspect ratio']"
